"Taxa"	"Buddy_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Buddy_16"	"Buddy_17"	"Ivy_17"	"Padme_17"	"Buddy_18"	"Ginger_18"	"Ivy_18"	"Franc_19"	"Ivy_19"	"Ginger_2"	"Ginger_20"	"Buddy_21"	"Joans_21"	"Franc_22"	"Grogu_22"	"Henry_22"	"Joans_22"	"Marshmallow_22"	"Franc_24"	"Ginger_24"	"Henry_24"	"Ivy_24"	"Marshmallow_24"	"Henry_25"	"Ginger_29"	"Henry_29"	"Joans_29"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Grogu_37"	"Grogu_41"	"Joans_41"	"Marshmallow_41"	"Ginger_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Ivy_44"	"Joans_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Henry_45"	"Ivy_45"	"Joans_45"	"Marshmallow_45"	"Buddy_46"	"Charles_46"	"Ivy_46"	"Joans_46"	"Marshmallow_46"	"Franc_47"	"Ginger_47"	"Ivy_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Ivy_48"	"Joans_48"	"Marshmallow_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Ivy_49"	"Joans_49"	"Marshmallow_49"	"Padme_5"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"Joans_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Buddy_52"	"Charles_52"	"Ginger_52"	"Grogu_52"	"Marshmallow_52"	"Franc_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Ivy_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ginger_58"	"Henry_59"	"Padme_6"	"Joans_60"	"Marshmallow_60"	"Joans_62"	"Henry_66"	"Ivy_67"	"Franc_68"	"Ginger_7"	"Padme_7"	"Grogu_70"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"
"k__Bacteria|p__Bacillota|c__Negativicutes"	0.491555555555556	0.457555555555556	0.443333333333333	0.732444444444444	0.0782222222222222	0.508444444444444	0.386444444444444	0.00111111111111111	0.276222222222222	0.643555555555556	0.320666666666667	0.537333333333333	0.499777777777778	0.0857777777777778	0.612222222222222	0.426	0.531333333333333	0.499111111111111	0.130444444444444	0.509111111111111	0.498666666666667	0.544888888888889	0.460222222222222	0.608666666666667	0.540444444444444	0.521444444444444	0.255555555555556	0.357333333333333	0.737333333333333	0.484888888888889	0.534222222222222	0.479777777777778	0.0746666666666667	0.580888888888889	0.481777777777778	0.0515555555555556	0.0917777777777778	0.518444444444444	0.0251111111111111	0.303111111111111	0.180444444444444	0.590222222222222	0.262444444444444	0.387111111111111	0.244444444444444	0.770888888888889	0.618444444444444	0.434444444444444	0.404444444444444	0.462222222222222	0.482444444444444	0.606222222222222	0.817111111111111	0.362444444444444	0.369555555555556	0.156	0.264888888888889	0.45	0.763111111111111	0.496666666666667	0.341777777777778	0.681111111111111	0.789111111111111	0.533555555555556	0.245777777777778	0.237111111111111	0.478666666666667	0.486666666666667	0.0568888888888889	0.504222222222222	0.540666666666667	0.488	0.202666666666667	0.482	0.856222222222222	0.75	0.636	0.509111111111111	0.395333333333333	0.257777777777778	0.333555555555556	0.7	0.611555555555556	0.811555555555556	0.254888888888889	0.720222222222222	0.382222222222222	0.534888888888889	0.503555555555556	0.321555555555556	0.478444444444444	0.430666666666667	0.701777777777778	0.161777777777778	0.395555555555556	0.577111111111111	0.0848888888888889	0.542444444444444	0.728333333333333	0.454666666666667	0.269555555555556	0.470444444444444	0.116222222222222	0.629777777777778	0.415555555555556	0.245777777777778	0.725333333333333	0.692888888888889	0.186666666666667	0.673555555555556	0.276	0.702444444444444	0.261555555555556	0.524	0.567777777777778	0.246111111111111	0.110888888888889	0.0713333333333333	0.368888888888889	0.178	0.562666666666667	0.286777777777778	0.28
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria"	0.223111111111111	0.276666666666667	0.0957777777777778	0.00977777777777778	0.00511111111111111	0.0844444444444444	0.121777777777778	0.983111111111111	0.679555555555556	0.0393333333333333	0.086	0.0866666666666667	0.0684444444444444	0.823555555555556	0.0164444444444444	0.107777777777778	0.243777777777778	0.0208888888888889	0.800666666666667	0.111555555555556	0.140444444444444	0.250666666666667	0.0473333333333333	0.00577777777777778	0.122666666666667	0.0198888888888889	0.604888888888889	0.282444444444444	0.00911111111111111	0.105777777777778	0.282666666666667	0.0633333333333333	0.858888888888889	0.0268888888888889	0.024	0.894666666666667	0.857333333333333	0.158222222222222	0.000444444444444444	0.278444444444444	0.634	0.008	0.01	0.335111111111111	0.146	0.000444444444444444	0.0524444444444444	0.222	0.418666666666667	0.215333333333333	0.0533333333333333	0.206	0.00133333333333333	0.177777777777778	0.190666666666667	0.717777777777778	0.314444444444444	0.177333333333333	0.00733333333333333	0.160888888888889	0.517777777777778	0.0184444444444444	0.0817777777777778	0.00555555555555556	0.566222222222222	0.626222222222222	0.137111111111111	0.0246666666666667	0.882222222222222	0.0157777777777778	0.0964444444444444	0.343777777777778	0.512666666666667	0.0373333333333333	0.000888888888888889	0.00777777777777778	0.0326666666666667	0.123777777777778	0.424444444444444	0.506444444444444	0.486888888888889	0.104222222222222	0.0211111111111111	0.00177777777777778	0.665777777777778	0.0144444444444444	0.0915555555555556	0.0546666666666667	0.0126666666666667	0.113333333333333	0.294666666666667	0.0106666666666667	0.00333333333333333	0.738666666666667	0.252222222222222	0.00422222222222222	0.872444444444444	0.012	0.00555555555555556	0.00955555555555555	0.596888888888889	0.0122222222222222	0.786222222222222	0.0862222222222222	0.366666666666667	0.637333333333333	0.00466666666666667	0.00933333333333333	0.486888888888889	0.127111111111111	0.529111111111111	0.0402222222222222	0.0242222222222222	0.193111111111111	0.172888888888889	0.621555555555556	0.550444444444444	0.116	0.428888888888889	0.750888888888889	0.0408888888888889	0.342111111111111	0.343333333333333
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.184444444444444	0.167777777777778	0.0946666666666667	0.082	0.572	0.156222222222222	0.338444444444444	0.00288888888888889	0.00533333333333333	0.178888888888889	0.383111111111111	0.214444444444444	0.180666666666667	0.0502222222222222	0.261111111111111	0.185333333333333	0.134888888888889	0.266444444444444	0.0446666666666667	0.255777777777778	0.204888888888889	0.122444444444444	0.299111111111111	0.298	0.210444444444444	0.149111111111111	0.0544444444444444	0.244666666666667	0.131111111111111	0.243555555555556	0.0882222222222222	0.230222222222222	0.0435555555555556	0.205111111111111	0.246222222222222	0.0235555555555556	0.0211111111111111	0.0801111111111111	0.778444444444444	0.285111111111111	0.106666666666667	0.216	0.580888888888889	0.171111111111111	0.252444444444444	0.153777777777778	0.128444444444444	0.261777777777778	0.1	0.259555555555556	0.283111111111111	0.0775555555555556	0.108888888888889	0.299777777777778	0.365777777777778	0.04	0.341333333333333	0.298666666666667	0.0595555555555556	0.255111111111111	0.0631111111111111	0.167111111111111	0.0604444444444444	0.262444444444444	0.076	0.0691111111111111	0.227333333333333	0.312	0.0324444444444444	0.275555555555556	0.172	0.0542222222222222	0.0462222222222222	0.241111111111111	0.0651111111111111	0.149777777777778	0.182	0.309111111111111	0.0564444444444444	0.171777777777778	0.0695555555555556	0.118	0.223777777777778	0.088	0.0246666666666667	0.134	0.446444444444444	0.244444444444444	0.309111111111111	0.516444444444444	0.127555555555556	0.352888888888889	0.148	0.056	0.2	0.298666666666667	0.0213333333333333	0.251111111111111	0.130666666666667	0.310666666666667	0.0555555555555556	0.268888888888889	0.0568888888888889	0.193333333333333	0.122666666666667	0.0604444444444444	0.137111111111111	0.224666666666667	0.212888888888889	0.0944444444444444	0.110666666666667	0.188888888888889	0.480444444444444	0.0866666666666667	0.115555555555556	0.0831111111111111	0.178	0.666444444444444	0.054	0.0253333333333333	0.268444444444444	0.190111111111111	0.248444444444444
"k__Bacteria|p__Bacillota|c__Clostridia"	0.0686666666666667	0.0702222222222222	0.123333333333333	0.114444444444444	0.0113333333333333	0.0602222222222222	0.126888888888889	0.00244444444444444	0.0128888888888889	0.0524444444444444	0.0866666666666667	0.140222222222222	0.166	0.0133333333333333	0.0731111111111111	0.0395555555555556	0.0491111111111111	0.180666666666667	0.0228888888888889	0.0882222222222222	0.123555555555556	0.0664444444444444	0.15	0.0675555555555555	0.0746666666666667	0.193111111111111	0.0826666666666667	0.0442222222222222	0.104888888888889	0.092	0.0688888888888889	0.149111111111111	0.0202222222222222	0.141333333333333	0.215777777777778	0.0275555555555556	0.0266666666666667	0.183111111111111	0.014	0.0682222222222222	0.0693333333333333	0.102	0.0835555555555555	0.0728888888888889	0.106888888888889	0.0457777777777778	0.170222222222222	0.0573333333333333	0.0626666666666667	0.0373333333333333	0.134666666666667	0.0642222222222222	0.0533333333333333	0.116222222222222	0.0402222222222222	0.0815555555555556	0.0471111111111111	0.0606666666666667	0.116222222222222	0.0617777777777778	0.0584444444444444	0.11	0.044	0.0506666666666667	0.0922222222222222	0.0408888888888889	0.139111111111111	0.142	0.0248888888888889	0.170444444444444	0.136	0.106222222222222	0.0708888888888889	0.204888888888889	0.0666666666666667	0.0731111111111111	0.0877777777777778	0.0357777777777778	0.106222222222222	0.0513333333333333	0.0602222222222222	0.0595555555555556	0.111555555555556	0.082	0.0515555555555556	0.106666666666667	0.046	0.114888888888889	0.115111111111111	0.0366666666666667	0.0748888888888889	0.156888888888889	0.117111111111111	0.0388888888888889	0.0948888888888889	0.100666666666667	0.02	0.0782222222222222	0.108333333333333	0.183555555555556	0.0613333333333333	0.213777777777778	0.036	0.0646666666666667	0.0611111111111111	0.0462222222222222	0.118666666666667	0.0277777777777778	0.0975555555555556	0.0866666666666667	0.0753333333333333	0.0326666666666667	0.101111111111111	0.113333333333333	0.115777777777778	0.0337777777777778	0.127555555555556	0.00555555555555556	0.121555555555556	0.0377777777777778	0.0895555555555556	0.00911111111111111	0.0953333333333333
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria"	0.02	0.0164444444444444	0.00955555555555555	0.0284444444444444	0.130222222222222	0.0411111111111111	0.0204444444444444	0	0.0242222222222222	0.0606666666666667	0.0215555555555556	0.0126666666666667	0.016	0.0197777777777778	0.0102222222222222	0.0231111111111111	0.0286666666666667	0.0277777777777778	0.00111111111111111	0.02	0.00711111111111111	0.014	0.0366666666666667	0.0148888888888889	0.0282222222222222	0.0165555555555556	0.000666666666666667	0.0404444444444444	0.0164444444444444	0.0326666666666667	0.0126666666666667	0.0488888888888889	0.00244444444444444	0.0182222222222222	0.0124444444444444	0.00244444444444444	0.00311111111111111	0.0451111111111111	0.07	0.0482222222222222	0.00777777777777778	0.0497777777777778	0.0337777777777778	0.00644444444444444	0.0902222222222222	0.0153333333333333	0.0261111111111111	0.022	0.0113333333333333	0.0242222222222222	0.0402222222222222	0.008	0.0162222222222222	0.0351111111111111	0.0335555555555556	0.00133333333333333	0.0188888888888889	0.01	0.0155555555555556	0.0246666666666667	0.0102222222222222	0.018	0.0206666666666667	0.0933333333333333	0.0164444444444444	0.0184444444444444	0.00466666666666667	0.0282222222222222	0.00311111111111111	0.0273333333333333	0.0386666666666667	0.00555555555555556	0.00222222222222222	0.0308888888888889	0.00533333333333333	0.016	0.052	0.0186666666666667	0.00933333333333333	0.00777777777777778	0.0106666666666667	0.0148888888888889	0.0268888888888889	0.0128888888888889	0.002	0.0217777777777778	0.0291111111111111	0.032	0.034	0.0108888888888889	0.00911111111111111	0.0422222222222222	0.0268888888888889	0.004	0.0417777777777778	0.0171111111111111	0.000666666666666667	0.00911111111111111	0.015	0.0337777777777778	0.0111111111111111	0.0295555555555556	0.00155555555555556	0.0224444444444444	0.0173333333333333	0.00911111111111111	0.0126666666666667	0.0337777777777778	0.00911111111111111	0.0171111111111111	0.00844444444444444	0.0317777777777778	0.0302222222222222	0.0217777777777778	0.0253333333333333	0.0132222222222222	0.0102222222222222	0.103111111111111	0.00533333333333333	0.00733333333333333	0.0151111111111111	0.0186666666666667	0.0275555555555556
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia"	0.00733333333333333	0.00666666666666667	0.226666666666667	0.0306666666666667	0	0.145333333333333	0.000888888888888889	0.000222222222222222	0.000444444444444444	0.00577777777777778	0.0868888888888889	0.00466666666666667	0.0493333333333333	0.00666666666666667	0.014	0.204222222222222	0.00977777777777778	0.00266666666666667	0	0.01	0.0213333333333333	0	0.00444444444444444	0.00355555555555556	0.00866666666666667	0.0745555555555556	0	0.00688888888888889	0.000222222222222222	0.00466666666666667	0.012	0.00755555555555556	0	0.024	0.00622222222222222	0	0	0.0141111111111111	0	0.00644444444444444	0	0.0135555555555556	0.0226666666666667	0.0153333333333333	0.109111111111111	0	0.000111111111111111	0	0	0	0.000444444444444444	0	0	0.000444444444444444	0	0	0.00377777777777778	0.00111111111111111	0.00511111111111111	0	0	0.000888888888888889	0	0.042	0	0.00755555555555556	0.0106666666666667	0	0	0.004	0.0117777777777778	0	0.00333333333333333	0	0	0.00155555555555556	0.00555555555555556	0	0	0.00133333333333333	0.00911111111111111	0.00111111111111111	0	0	0	0	0	0.00577777777777778	0.00133333333333333	0	0.00422222222222222	0.00488888888888889	0.000222222222222222	0	0	0	0	0.00711111111111111	0	0.000888888888888889	0.00244444444444444	0.000222222222222222	0	0.000666666666666667	0.00866666666666667	0.000444444444444444	0	0.008	0.00444444444444444	0	0	0.000444444444444444	0.0326666666666667	0.0322222222222222	0.000888888888888889	0	0.02	0	0.0171111111111111	0	0.018	0.137222222222222	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia"	0.00422222222222222	0.00311111111111111	0.00133333333333333	0.00222222222222222	0.0133333333333333	0.00311111111111111	0.00466666666666667	0.000222222222222222	0.000222222222222222	0.014	0.006	0.00355555555555556	0.006	0.000666666666666667	0.00688888888888889	0.0128888888888889	0.000444444444444444	0.00222222222222222	0.000222222222222222	0.00511111111111111	0.00355555555555556	0.00111111111111111	0.00177777777777778	0.00111111111111111	0.012	0.0105555555555556	0.00111111111111111	0.0235555555555556	0.000666666666666667	0.0348888888888889	0.00111111111111111	0.0173333333333333	0.000222222222222222	0.00333333333333333	0.0133333333333333	0.000222222222222222	0	0.000555555555555556	0.00733333333333333	0.00977777777777778	0.00177777777777778	0.0191111111111111	0.006	0.0117777777777778	0.0157777777777778	0.0137777777777778	0.00311111111111111	0.00155555555555556	0.00266666666666667	0.000444444444444444	0.00555555555555556	0.0357777777777778	0.00266666666666667	0.00822222222222222	0.000222222222222222	0.00333333333333333	0.00955555555555555	0.002	0.0324444444444444	0.000666666666666667	0.00488888888888889	0.00444444444444444	0.00288888888888889	0.0115555555555556	0.00266666666666667	0.000222222222222222	0.002	0.00577777777777778	0.000444444444444444	0.000666666666666667	0.00111111111111111	0.002	0.000666666666666667	0.00244444444444444	0.00533333333333333	0.00111111111111111	0.00266666666666667	0.000666666666666667	0.00755555555555556	0.000666666666666667	0.0242222222222222	0.00155555555555556	0.00111111111111111	0.00333333333333333	0.000444444444444444	0.00111111111111111	0.004	0.00911111111111111	0.0208888888888889	0.000666666666666667	0.00977777777777778	0.000888888888888889	0.00266666666666667	0.000666666666666667	0.0117777777777778	0.002	0.000666666666666667	0.0957777777777778	0.0108888888888889	0.00466666666666667	0.00244444444444444	0.00422222222222222	0.00311111111111111	0.000888888888888889	0.00711111111111111	0.000666666666666667	0.00111111111111111	0.00111111111111111	0.000888888888888889	0.000444444444444444	0.000444444444444444	0.00244444444444444	0.062	0.0273333333333333	0.00155555555555556	0.00133333333333333	0.000444444444444444	0.00177777777777778	0.000666666666666667	0.000222222222222222	0.00488888888888889	0.0148888888888889	0.00533333333333333
"k__Bacteria|p__Bacillota|c__Bacilli"	0.000666666666666667	0.00155555555555556	0.00533333333333333	0	0	0.000888888888888889	0	0.01	0.00111111111111111	0.00533333333333333	0.00244444444444444	0	0.0104444444444444	0	0.006	0.00111111111111111	0.002	0	0	0	0.000444444444444444	0.000444444444444444	0	0.000222222222222222	0.00288888888888889	0.0131111111111111	0.000666666666666667	0.000444444444444444	0.000222222222222222	0.00155555555555556	0.000222222222222222	0.00377777777777778	0	0	0	0	0	0.000333333333333333	0	0.000666666666666667	0	0.00111111111111111	0.000444444444444444	0.000222222222222222	0.0344444444444444	0	0.000777777777777778	0.000666666666666667	0.000222222222222222	0.000888888888888889	0	0.00177777777777778	0.000222222222222222	0	0	0	0	0.000222222222222222	0.000666666666666667	0.000222222222222222	0.00333333333333333	0	0.000888888888888889	0.000888888888888889	0.000666666666666667	0.000444444444444444	0.000222222222222222	0	0	0.000888888888888889	0.00333333333333333	0	0.160666666666667	0.00111111111111111	0.000444444444444444	0.000666666666666667	0.000444444444444444	0.00288888888888889	0.000666666666666667	0.00288888888888889	0.00555555555555556	0.000666666666666667	0.00177777777777778	0.000444444444444444	0.000444444444444444	0.000444444444444444	0.000666666666666667	0.00422222222222222	0.000666666666666667	0.000444444444444444	0.00111111111111111	0.000888888888888889	0	0	0.00377777777777778	0.000222222222222222	0	0.00422222222222222	0.00122222222222222	0.00177777777777778	0.000666666666666667	0.000444444444444444	0	0.00177777777777778	0.000888888888888889	0	0.000444444444444444	0.00244444444444444	0.00111111111111111	0.000666666666666667	0	0.000888888888888889	0.00777777777777778	0	0	0.000777777777777778	0.00244444444444444	0	0.00355555555555556	0.000444444444444444	0	0.00111111111111111	0
"k__Bacteria|p__Actinomycetota|c__Actinomycetes"	0	0	0	0	0.189777777777778	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0.000222222222222222	0	0.000111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0.104	0	0	0.000222222222222222	0	0	0.000222222222222222	0	0.000222222222222222	0.000222222222222222	0	0	0	0.000444444444444444	0.000222222222222222	0	0	0	0	0	0	0	0.000444444444444444	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0.000222222222222222	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357777777777778	0	0	0	0	0
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes"	0	0	0	0	0	0	0.000444444444444444	0	0	0	0.00666666666666667	0	0.00288888888888889	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0.00155555555555556	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0.000666666666666667	0	0	0	0.000222222222222222	0	0	0	0.000111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666666666666667	0	0.00111111111111111	0	0	0	0	0	0	0.000888888888888889	0	0	0	0	0	0.002	0	0	0.00133333333333333	0	0	0.00244444444444444	0	0	0	0	0	0	0	0	0	0	0.000444444444444444	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0.00155555555555556	0.000222222222222222	0	0	0	0	0	0.000222222222222222	0	0
