Run_ID	Pooled_Library_Code	Pooled_Library_ID	Loaded_By	Flow_Cell_ID	Flow_Cell_Type	Sequencer	MinION_Position	Flongle_Adapter	Kit	Run_Date	Pipeline	Run_Notes
MIN_16_2023-12-21	CM001	LSK_UNO-CM-001	SA	FAW97410	FLO-MIN114	Angel-MinION	MN43747		SQK-LSK114 EXP-PBC096	12/21/23	16S_LSK	
MIN_16_2024-2-12	CM002	16S_UNO-CM-002	SA	FAX08980	FLO-MIN114	Angel-MinION	MN43747		SQK-16S024	2/12/24	16S_RAP	
MIN_16_2024-3-6	CM003	16S_UNO-CM-003	SA	ARM773	FLO-FLG001	Angel-MinION	MN43747	FA-08546	SQK-16S024	3/6/24	16S_RAP	
MIN_16_2024-2-29	CM004	16S_UNO-CM-004	SA	ARL498	FLO-FLG001	Angel-MinION	MN43747	FA-08546	SQK-16S024	2/29/24	16S_RAP	
MIN_16_2024-3-1	CM005	16S_UNO-CM-005	SA	ARM042	FLO-FLG001	Angel-MinION	MN43747	FA-08546	SQK-16S024	3/1/24	16S_RAP	
MIN_16_2024-5-19	CM006	16S_UNO-CM-006	SA	ARM904	FLO-FLG001	Angel-MinION	MN43747	FA-08546	SQK-16S024	5/19/24	16S_RAP	
MIN_16_2024-5-21	CM007	16S_UNO-CM-007	SA	AQL192	FLO-FLG001	Angel-MinION	MN43747	FA-08546	SQK-16S114-24	5/21/24	16S_RAP	
MIN_16_2024-6-11	CM008	16S_UNO-CM-008	SA	AUD426	FLO-FLG114	Angel-MinION	MN43747	FA-08546	SQK-16S114-24	6/11/24	16S_RAP	
MIN_16_2024-7-19	CM009	16S_UNO-CM-009	SA	AVI598	FLO-FLG114	Angel-MinION	MN43747	FA-08546	SQK-16S114-24	7/19/24	16S_RAP	
MIN_16_2024-7-21	CM010	16S_UNO-CM-010	SA	AVI583	FLO-FLG114	Angel-MinION	MN43747	FA-08546	SQK-16S114-24	7/21/24	16S_RAP	
MIN_16_2025-1-23	CM011	16S_UNO-CM-011	SA	AWE108	FLO-FLG114	Angel-MinION	MN43747	FA-08546	SQK-16S114-24	1/23/25	16S_RAP	
MIN_16_2025-2-21	CM012	16S_UNO-CM-012	SA	AWI952	FLO-FLG114	Angel-MinION	MN43747	FA-08546	SQK-16S114-24	2/21/25	16S_RAP	
MIN_16_2025-4-1	CM013	16S_UNO-CM-013	SA/TSP	AWD252	FLO-FLG114	Angel-MinION	MN43747	FA-08546	SQK-16S114-24	4/1/25	16S_RAP	
MIN_16_2025-4-2	CM014	16S_UNO-CM-014	SA	AWG208	FLO-FLG114	Angel-MinION	MN43747	FA-08546	SQK-16S114-24	4/2/25	16S_RAP	
